Basic-Block,gen[B],kill[B],in[B],out[B]
B0,D0 D1 D2 D3 D4 D5 D6,D10 D11 D28 D30 D31,,D0 D1 D2 D3 D4 D5 D6
B1,,,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9
B10,,,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9
B100,,,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9
B11,,,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9
B12,D10 D11,D0 D1 D28 D30 D31,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9,D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D3 D4 D5 D6 D7 D8 D9
B13,,,D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9,D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9
B14,,,D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9,D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9
B15,D12,D18 D24 D27 D29 D8,D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B16,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B17,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B18,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B19,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B2,D7,,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9
B20,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B21,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B22,D13,D16,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B23,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B24,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B25,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B26,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B27,D14 D15,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B28,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B29,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B3,D8,D12 D18 D24 D27 D29,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D24 D25 D26 D27 D28 D29 D3 D30 D31 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9
B30,D16,D13,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B31,,,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B32,D17,D19 D20 D21 D22,D10 D11 D12 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D12 D13 D14 D15 D16 D17 D2 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B33,D18,D12 D24 D27 D29 D8,D10 D11 D12 D13 D14 D15 D16 D17 D2 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D2 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B34,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B35,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B36,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B37,D19,D17 D20 D21 D22,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D18 D19 D2 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B38,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B39,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B4,,,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D13 D14 D15 D16 D17 D19 D2 D20 D21 D22 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D8 D9
B40,D20,D17 D19 D21 D22,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D18 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B41,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B42,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B43,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B44,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B45,D21,D17 D19 D20 D22,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D18 D2 D21 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B46,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D21 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D21 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
B47,,,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D21 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9,D10 D11 D13 D14 D15 D16 D17 D18 D19 D2 D20 D21 D23 D25 D26 D28 D3 D30 D31 D4 D5 D6 D7 D9
