Basic-Block,gen[B],kill[B],in[B],out[B]
B55,D19,D16,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D17 D18 D19 D2 D4 D5 D7 D8
B56,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D4 D5 D7 D8
B57,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D4 D5 D7 D8
B58,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D4 D5 D7 D8
B59,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B6,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B60,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B61,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B62,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B63,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B64,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B7,D1,D2 D4,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D3 D5 D6 D7 D8 D9
B8,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D3 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D3 D5 D6 D7 D8 D9
B9,D2,D1 D4,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D3 D5 D6 D7 D8 D9,D0 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D5 D6 D7 D8 D9
