Basic-Block,gen[B],kill[B]
B0,D0,
B1,,
B10,,
B11,D3,D13 D17 D6 D9
B12,,
B13,,
B14,,
B15,D4,D1 D2
B16,,
B17,,
B18,,
B19,,
B2,,
B20,,
B21,,
B22,,
B23,,
B24,,
B25,,
B26,D5,
B27,D6,D13 D17 D3 D9
B28,,
B29,,
B3,,
B30,,
B31,,
B32,,
B33,,
B34,D7 D8,D11 D12
B35,D9,D13 D17 D3 D6
B36,,
B37,D10 D11 D12,D7 D8
B38,,
B39,,
B4,,
B40,,
B41,,
B42,,
B43,D13,D17 D3 D6 D9
B44,,
B45,,
B46,,
B47,D14 D15 D16,D18 D19
B48,D17,D13 D3 D6 D9
B49,,
B5,,
B50,,
B51,,
B52,D18,D15
B53,,
B54,,
B55,D19,D16
B56,,
B57,,
B58,,
B59,,
B6,,
B60,,
B61,,
B62,,
B63,,
B64,,
B7,D1,D2 D4
B8,,
B9,D2,D1 D4
