Basic-Block,gen[B],kill[B],in[B],out[B]
B121,,,D14 D19 D20,D14 D19 D20
B122,,,D14 D19 D20,D14 D19 D20
B123,,,D14 D19 D20,D14 D19 D20
B124,,,D14 D19 D20,D14 D19 D20
B125,,,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9
B126,D21,D0 D10 D12 D15 D17 D19 D2 D4 D6 D8,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9
B127,,,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9
B128,,,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9
B129,D22,D1 D11 D13 D16 D18 D20 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9,D14 D21 D22
B13,,,D0 D1 D14,D0 D1 D14
B130,,,D14 D21 D22,D14 D21 D22
B131,,,D14 D21 D22,D14 D21 D22
B132,,,D14 D21 D22,D14 D21 D22
B133,,,D14 D21 D22,D14 D21 D22
B134,,,D14 D21 D22,D14 D21 D22
B135,,,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D21 D22 D3 D5 D7 D9
B136,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B137,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B138,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B139,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B14,,,D0 D1 D14,D0 D1 D14
B140,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B15,,,D0 D1 D14,D0 D1 D14
B16,,,D0 D1 D14,D0 D1 D14
B17,,,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B18,D2,D0 D10 D12 D15 D17 D19 D21 D4 D6 D8,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9
B19,,,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9
B2,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B20,,,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9
B21,D3,D1 D11 D13 D16 D18 D20 D22 D5 D7 D9,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9,D14 D2 D3
B22,,,D14 D2 D3,D14 D2 D3
B23,,,D14 D2 D3,D14 D2 D3
B24,,,D14 D2 D3,D14 D2 D3
B25,,,D14 D2 D3,D14 D2 D3
B26,,,D14 D2 D3,D14 D2 D3
B27,,,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9
B28,D4,D0 D10 D12 D15 D17 D19 D2 D21 D6 D8,D1 D11 D13 D14 D16 D18 D2 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9
B29,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9
B3,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B30,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9
B31,D5,D1 D11 D13 D16 D18 D20 D22 D3 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9,D14 D4 D5
B32,,,D14 D4 D5,D14 D4 D5
B33,,,D14 D4 D5,D14 D4 D5
B34,,,D14 D4 D5,D14 D4 D5
B35,,,D14 D4 D5,D14 D4 D5
B36,,,D14 D4 D5,D14 D4 D5
B37,,,D14 D4 D5,D14 D4 D5
B38,,,D14 D4 D5,D14 D4 D5
B39,,,D14 D4 D5,D14 D4 D5
B4,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B40,,,D14 D4 D5,D14 D4 D5
B41,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9
B42,D6,D0 D10 D12 D15 D17 D19 D2 D21 D4 D8,D1 D11 D13 D14 D16 D18 D20 D22 D3 D4 D5 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9
B43,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9
B44,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9
B45,D7,D1 D11 D13 D16 D18 D20 D22 D3 D5 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9,D14 D6 D7
B46,,,D14 D6 D7,D14 D6 D7
B47,,,D14 D6 D7,D14 D6 D7
B48,,,D14 D6 D7,D14 D6 D7
B49,,,D14 D6 D7,D14 D6 D7
B5,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B50,,,D14 D6 D7,D14 D6 D7
B51,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D6 D7 D9
B52,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B53,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B54,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B55,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B56,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B57,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B58,D8,D0 D10 D12 D15 D17 D19 D2 D21 D4 D6,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9
B59,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9
B6,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B60,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9
B61,D9,D1 D11 D13 D16 D18 D20 D22 D3 D5 D7,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9,D14 D8 D9
B62,,,D14 D8 D9,D14 D8 D9
B63,,,D14 D8 D9,D14 D8 D9
B64,,,D14 D8 D9,D14 D8 D9
B65,,,D14 D8 D9,D14 D8 D9
B66,,,D14 D8 D9,D14 D8 D9
B67,,,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9
B68,D10,D0 D12 D15 D17 D19 D2 D21 D4 D6 D8,D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D8 D9,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B69,,,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B7,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B70,,,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B71,D11,D1 D13 D16 D18 D20 D22 D3 D5 D7 D9,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D10 D11 D14
B72,,,D10 D11 D14,D10 D11 D14
B73,,,D10 D11 D14,D10 D11 D14
B74,,,D10 D11 D14,D10 D11 D14
B75,,,D10 D11 D14,D10 D11 D14
B76,,,D10 D11 D14,D10 D11 D14
B77,,,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B78,D12,D0 D10 D15 D17 D19 D2 D21 D4 D6 D8,D1 D10 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B79,,,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B8,D0,D10 D12 D15 D17 D19 D2 D21 D4 D6 D8,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B80,,,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B81,D13,D1 D11 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D12 D13 D14
B82,,,D12 D13 D14,D12 D13 D14
B83,,,D12 D13 D14,D12 D13 D14
B84,D14,,D12 D13 D14,D12 D13 D14
B85,,,D12 D13 D14,D12 D13 D14
B86,,,D12 D13 D14,D12 D13 D14
B87,,,D12 D13 D14,D12 D13 D14
B88,,,D12 D13 D14,D12 D13 D14
B89,,,D12 D13 D14,D12 D13 D14
B9,,,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B90,,,D12 D13 D14,D12 D13 D14
B91,,,D12 D13 D14,D12 D13 D14
B92,,,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B93,D15,D0 D10 D12 D17 D19 D2 D21 D4 D6 D8,D1 D11 D12 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9
B94,,,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9
B95,,,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9
B96,D16,D1 D11 D13 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9,D14 D15 D16
B97,,,D14 D15 D16,D14 D15 D16
B98,,,D14 D15 D16,D14 D15 D16
B99,,,D14 D15 D16,D14 D15 D16
