Basic-Block,gen[B],kill[B],in[B],out[B]
B0,,,,
B1,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B10,,,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9
B100,,,D14 D15 D16,D14 D15 D16
B101,,,D14 D15 D16,D14 D15 D16
B102,,,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D22 D3 D5 D7 D9
B103,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B104,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B105,,,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9
B106,D17,D0 D10 D12 D15 D19 D2 D21 D4 D6 D8,D1 D11 D13 D14 D15 D16 D18 D20 D21 D22 D3 D5 D6 D7 D9,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9
B107,,,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9
B108,,,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9
B109,D18,D1 D11 D13 D16 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9,D14 D17 D18
B11,D1,D11 D13 D16 D18 D20 D22 D3 D5 D7 D9,D0 D1 D11 D13 D14 D16 D18 D20 D22 D3 D5 D7 D9,D0 D1 D14
B110,,,D14 D17 D18,D14 D17 D18
B111,,,D14 D17 D18,D14 D17 D18
B112,,,D14 D17 D18,D14 D17 D18
B113,,,D14 D17 D18,D14 D17 D18
B114,,,D14 D17 D18,D14 D17 D18
B115,,,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9
B116,D19,D0 D10 D12 D15 D17 D2 D21 D4 D6 D8,D1 D11 D13 D14 D16 D17 D18 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9
B117,,,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9
B118,,,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9
B119,D20,D1 D11 D13 D16 D18 D22 D3 D5 D7 D9,D1 D11 D13 D14 D16 D18 D19 D20 D22 D3 D5 D7 D9,D14 D19 D20
B12,,,D0 D1 D14,D0 D1 D14
B120,,,D14 D19 D20,D14 D19 D20
